quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender,additional_info
"This is a quote on the topic 'Living environment' with tags [Nature, Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany.",Living environment,"Nature, Transport",Germany,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education, Integration] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Italy.",Social,"Education, Integration",Italy,seasonal,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Education, Integration] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Social,"Integration, Discrimination",Austria,seasonal,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Transport, Housing] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Living environment,"Transport, Housing",Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport, Housing] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Social,"Discrimination, Education",Austria,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Job security] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany.",Economic,Job security,Germany,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Deskilling, Job security] from a female seasonal migrant age group 55-70, from Austria. Interview done in Italy.",Economic,"Deskilling, Job security",Italy,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Job security] from a female seasonal migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male permanent migrant age group 55-70, from Austria. Interview done in Austria.",Living environment,Housing,Austria,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male permanent migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy.",Living environment,Housing,Italy,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 55-70, from Turkey. Interview done in Germany.",Living environment,"Nature, Pollution",Germany,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Nature, Pollution] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Italy.",Living environment,"Nature, Pollution",Italy,seasonal,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Pollution] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria.",Social,Language,Austria,seasonal,55-70,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Discrimination, Integration] from a male permanent migrant age group 30-55, from Turkey. Interview done in Austria.",Social,"Discrimination, Integration",Austria,permanent,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Integration] from a male permanent migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy.",Economic,Deskilling,Italy,permanent,55-70,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Income] from a female permanent migrant age group 18-25, from Poland. Interview done in Germany.",Economic,Income,Germany,permanent,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female permanent migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 30-55, from Austria. Interview done in Italy.",Social,Discrimination,Italy,seasonal,30-55,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution, Housing] from a male permanent migrant age group 30-55, from Poland. Interview done in Germany.",Living environment,"Pollution, Housing",Germany,permanent,30-55,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Housing] from a male permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing, Nature] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy.",Living environment,"Housing, Nature",Italy,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Nature] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration] from a male permanent migrant age group 30-55, from Poland. Interview done in Italy.",Social,Integration,Italy,permanent,30-55,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany.",Economic,Job security,Germany,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy.",Living environment,"Pollution, Housing",Italy,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy.",Social,Education,Italy,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Job security, Income] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Economic,"Job security, Income",Italy,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security, Income] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Turkey. Interview done in Germany.",Social,Education,Germany,permanent,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution, Nature] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria.",Living environment,"Pollution, Nature",Austria,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Nature] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution, Nature] from a male permanent migrant age group 55-70, from Austria. Interview done in Austria.",Living environment,"Pollution, Nature",Austria,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Nature] from a male permanent migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria.",Economic,"Deskilling, Work",Austria,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing, Nature] from a female seasonal migrant age group 55-70, from Poland. Interview done in Germany.",Living environment,"Housing, Nature",Germany,seasonal,55-70,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Nature] from a female seasonal migrant age group 55-70, from Poland. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income, Work] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy.",Economic,"Income, Work",Italy,permanent,55-70,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Work] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany.",Social,Discrimination,Germany,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy.",Social,Education,Italy,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 30-55, from Austria. Interview done in Italy.",Living environment,"Nature, Pollution",Italy,permanent,30-55,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution, Nature] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Living environment,"Pollution, Nature",Austria,seasonal,55-70,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Nature] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Nature, Transport] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria.",Living environment,"Nature, Transport",Austria,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Transport] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Transport] from a male permanent migrant age group 18-25, from Poland. Interview done in Italy.",Living environment,Transport,Italy,permanent,18-25,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport] from a male permanent migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany.",Living environment,Nature,Germany,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Work] from a male permanent migrant age group 30-55, from Poland. Interview done in Austria.",Economic,Work,Austria,permanent,30-55,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a male permanent migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany.",Social,"Integration, Discrimination",Germany,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 18-25, from Austria. Interview done in Austria.",Living environment,Pollution,Austria,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Job security] from a female permanent migrant age group 18-25, from Turkey. Interview done in Austria.",Economic,Job security,Austria,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female permanent migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Nature, Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria.",Living environment,"Nature, Transport",Austria,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Income, Job security] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Economic,"Income, Job security",Italy,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Job security] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Italy.",Social,Language,Italy,seasonal,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 30-55, from Poland. Interview done in Germany.",Social,"Integration, Discrimination",Germany,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Transport, Housing] from a female permanent migrant age group 55-70, from Austria. Interview done in Germany.",Living environment,"Transport, Housing",Germany,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport, Housing] from a female permanent migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Nature, Housing] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Living environment,"Nature, Housing",Austria,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Housing] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Integration, Education] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Social,"Integration, Education",Italy,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Education] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria.",Social,Integration,Austria,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a female seasonal migrant age group 18-25, from Austria. Interview done in Germany.",Economic,Deskilling,Germany,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a female seasonal migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Work] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy.",Economic,Work,Italy,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Germany.",Social,Integration,Germany,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy.",Living environment,"Housing, Transport",Italy,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Income] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Economic,Income,Austria,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a male permanent migrant age group 18-25, from Poland. Interview done in Germany.",Social,Education,Germany,permanent,18-25,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a male permanent migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution, Nature] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany.",Living environment,"Pollution, Nature",Germany,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Nature] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income, Deskilling] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Economic,"Income, Deskilling",Austria,seasonal,55-70,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Deskilling] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a male permanent migrant age group 18-25, from Austria. Interview done in Austria.",Social,Education,Austria,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a male permanent migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Integration] from a female seasonal migrant age group 18-25, from Austria. Interview done in Austria.",Social,Integration,Austria,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a female seasonal migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Nature, Pollution] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Italy.",Living environment,"Nature, Pollution",Italy,seasonal,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Pollution] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Turkey. Interview done in Germany.",Economic,Deskilling,Germany,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Social,Discrimination,Austria,seasonal,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a female seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Income, Job security] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Austria.",Economic,"Income, Job security",Austria,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Job security] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 18-25, from Turkey. Interview done in Germany.",Living environment,"Housing, Pollution",Germany,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Deskilling, Income] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria.",Economic,"Deskilling, Income",Austria,seasonal,55-70,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Income] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy.",Living environment,"Housing, Transport",Italy,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language] from a male seasonal migrant age group 55-70, from Poland. Interview done in Germany.",Social,Language,Germany,seasonal,55-70,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a male seasonal migrant age group 55-70, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Social,"Discrimination, Education",Austria,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Economic,Deskilling,Austria,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Social,Integration,Austria,seasonal,18-25,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Job security] from a male seasonal migrant age group 55-70, from Austria. Interview done in Germany.",Economic,Job security,Germany,seasonal,55-70,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a male seasonal migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Language] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria.",Social,Language,Austria,permanent,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany.",Living environment,Pollution,Germany,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security] from a male permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Economic,Job security,Italy,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a male permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution, Housing] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy.",Living environment,"Pollution, Housing",Italy,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Housing] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language, Discrimination] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Social,"Language, Discrimination",Italy,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Language, Discrimination] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Social,Language,Austria,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Discrimination, Education] from a male permanent migrant age group 55-70, from Austria. Interview done in Germany.",Social,"Discrimination, Education",Germany,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Education] from a male permanent migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Living environment,"Housing, Transport",Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Transport] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Germany.",Social,"Discrimination, Integration",Germany,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Nature, Transport] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Living environment,"Nature, Transport",Austria,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Transport] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 30-55, from Austria. Interview done in Austria.",Living environment,Pollution,Austria,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 30-55, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Germany.",Social,Education,Germany,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Transport] from a female seasonal migrant age group 30-55, from Austria. Interview done in Italy.",Living environment,Transport,Italy,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport] from a female seasonal migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany.",Social,Education,Germany,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy.",Living environment,Pollution,Italy,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Income] from a female permanent migrant age group 30-55, from Austria. Interview done in Italy.",Economic,Income,Italy,permanent,30-55,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female permanent migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Language, Education] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Social,"Language, Education",Italy,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Language, Education] from a male permanent migrant age group 55-70, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Income] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Economic,Income,Italy,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Social,"Discrimination, Integration",Austria,seasonal,18-25,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Transport, Housing] from a female seasonal migrant age group 55-70, from Turkey. Interview done in Austria.",Living environment,"Transport, Housing",Austria,seasonal,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport, Housing] from a female seasonal migrant age group 55-70, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Income] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Economic,Income,Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income, Deskilling] from a male seasonal migrant age group 18-25, from Poland. Interview done in Germany.",Economic,"Income, Deskilling",Germany,seasonal,18-25,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Deskilling] from a male seasonal migrant age group 18-25, from Poland. Interview done in Germany."
