quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender
"We had a certain line what we had to say when I was working in the tourism sector in Turkey. It seemed like we could offer work to the villagers there. That was true. [...] But [it] was played a bit like that, as if we were holding people back there so that they they would stay there to find work instead of moving to big cities and from there to Europe, so to make people stay [in Turkey]. And then that was the line: We offer people work here, so if you start buying here then the ball will start rolling. [...] It's a very nice place to work, though, because most of my colleagues came from Europe. And of course they were trying to find a place there and we understood each other. And the visitors who came were surprised by how well my Dutch is. And they gave me liquorice, you know, things like that because I missed that. And that was really nice work.","Social, Economic",Work/employment,The Netherlands,permanent,45-64,Turkey,Female
"Sometimes my mother also worked. She worked for six years in a row and in addition, she worked occasionally because she sat with us. But I just notice that those times. They had a very hard time, only they were welcome because they were brought here. Now we are no longer welcome. Now they just want us gone. Us yes, foreigners or you see that right-wing party being elected, right? So I assume then that people, the majority, have trouble with foreign people. We don't actually belong anywhere. I mean about the second generation then. You might feel at home here, but we don't belong in the Netherlands, but we don't belong in Turkey either. In Turkey, they say Almancı, and here they say, you came from. Wherever I have worked, oh how well you can speak Dutch, how different your name is. Where are you originally from? That's always question number one. Always it is asked. I think they had easy jobs and a lot of things were easy to get into, to learn Dutch. My mother had a teacher at home. And now I have a daughter-in-law who is from abroad and she is studied. She's a stylist, she can speak good English and her own native language. She just got there and she has to pay €3,000 for 3 years of Dutch language courses. And then they go and see if you are advanced and then I think what the hell do you know? How crooked! You don't give her anything anymore because you don't have any ‘money’. Now she has to learn on her own. She has bought books. Because she doesn't get the money for it. And they are just starting out in their lives. My son is a high school teacher, but he couldn't do his job because it was just 12 hours and he wants to bring his wife here and then he has to have a one-year contract and have a certain salary. So then he can't do his job, he goes to work at a factory to bring his wife here. It's just a very strange world. In our parents' time, everything was given and you were welcome. You did the dirty work, thank you very much. And now we are actually a burden to them. “They don't leave anymore. They are no longer guest workers, they are settled here and only more are coming.”","Social, Economic, Living environment","Discrimination, Education, Integration, Language barriers, Work/employment, Legal barriers, Motivations to migrate, Belonging",The Netherlands,permanent,45-64,Turkey,Female
"They had that tendency to keep going back. That was always a talk of the day. Well, saving money, oh, we shouldn't buy something new. Second-hand, because yes, when we go back, where should we take it? How can we take it with us? That's how you used to hear. That's how you lived too. You lived every time with the idea of. Oh, we'll go back sometime. We didn't get new bikes, second-hand, because there was no money for that, because my father worked alone. And my father did make sure we went to Turkey every year so we got to know our family and the language. We also only spoke Turkish at home.","Economic, Living environment","Income, Integration, Belonging, Future migration plans",The Netherlands,permanent,45-64,Turkey,Female
"Let there be fair opportunities. See people's effort. See that they go to school and give them a chance. Don't just look at diploma but also background. Look at capacity. A person does not consist only of a diploma. Why can't you hire the person? It is not because the person is not intelligent but only because it was not allowed. That opportunity has been taken away from her hand. Try to look beyond that piece of paper. Look at what people did before, did now and after. Tackle it more comprehensively.",Social,"Education, Work/employment, Legal barriers",The Netherlands,permanent,45-64,Turkey,Female
"My father was a cattle herder, I was eight years old and my brother was six years old. When my father came here, my mother, me and my younger brother were herding cattle, he got dressed without saying goodbye to us and came here quickly. The jacket was from someone else, shoes from someone else, my uncle's jacket, shoes from one of the relatives, the conditions were not good.","Economic, Living environment","Education, Integration, Work/employment, Motivations to migrate",The Netherlands,permanent,45-64,Turkey,Male
There were no Turkish things here. I opened the first Turkish food company in this city.,Social,"Integration, Work/employment",The Netherlands,permanent,45-64,Turkey,Male
"[owner of a food company:] The customers are mostly Dutch. 99% Dutch. I already have the Dutch mentality. I open on time and close on time. I never compromise my work. I have such a habit. I go half an hour earlier, but I don't stay more than half an hour. I have such a discipline towards myself.",Social,"Integration, Work/employment",The Netherlands,permanent,45-64,Turkey,Male
"[owner of a food company:] At first I suffered a lot from the municipality. They wouldn't give me permission where I could stop. They wouldn't give me permission, they said they didn't have any. I travelled from market to market for five or ten years. When I was working at work, I used to look at the newspapers during my break. I would immediately go to the chief. My boss helped me a lot. The Dutch helped me a lot. They also helped me a lot financially while I was setting up this business. When I needed financial support, I would go to the boss and he would say okay, but look, 40 people work here, you won't call out to anyone. I would ask for 750 or 1000 euros and he would have no problem with it. I would ask him to cut it from my salary, or if it was too much, I would say cut it from there, and he would do it. So he was very interested. In order for my business to grow, he would bring 40 people so that I could make money. The food was good, of course. They have helped me a lot. I'll never forget their kindness.","Social, Economic","Income, Integration, Work/employment",The Netherlands,permanent,45-64,Turkey,Male
"But now language is a must. It was different in my father's time. But now, for example, there are newcomers who come with the logic that Europe is very good. They think that they can buy a car in Europe for two or three months. But look, all the young people who come here have difficulties. As we have heard, there is no such thing as coming here and finding a job immediately. I asked someone do you think that they are waiting for you? What business will people have with you? You didn't complete your education in Turkey. You are twenty years old. You have no education. You don't speak any English, let alone Dutch. What business do I have with you? Nothing. In my father's time there were more physical jobs. Because my father was very brave. He also did physical labour. Nowadays people say they don't want to work in a factory. English at the desk. People are not waiting for you to come and sit down. They think too easily.",Economic,"Education, Language barriers, Work/employment, Motivations to migrate",The Netherlands,permanent,18-34,The Netherlands,Male
"I've wanted to buy a house in Germany it since I was a kid. We live 15 minutes from here. We are right on the border. Since I was a child, we had family in Germany and Austria and I saw that their houses were big. Cars were cheaper. It was more advantageous financially. Instead of paying 600 euros for the car I use here, I pay 400 euros in Germany. For example, we can do shopping for a maximum of 80 euros. Everything is included. In the Netherlands you pay at least 150 euros for it.",Economic,"Housing, Transportation",The Netherlands,permanent,18-34,The Netherlands,Male
"Dutch people are different. Here, I can walk very easily in the bazaar with my wife, but in a big city where there are many foreigners I feel more uncomfortable. Dutch people are cooler, they are not interested in what others do. But the behaviour of foreigners is worse.","Social, Living environment","Discrimination, Integration, Belonging",The Netherlands,permanent,18-34,The Netherlands,Male
In the last five years the municipality here has been voted the worst municipality and unemployment has increased a lot. There are very few job opportunities.,Social,Work/employment,The Netherlands,permanent,18-34,The Netherlands,Male
"I always took the initiative myself in the [life]story I just told. Always learning a language, finding a job, joining life as soon as possible, doing something as soon as possible. Because this increases your self-confidence as soon as possible. Also, you know, when you are like this, you have a responsibility. You have a spouse, children, you are starting a family, a good future. The conditions in Turkey were very good. Now you are trying to rebuild everything from scratch. Making a new mistake. When that happens, everything is very difficult. I told myself that if I start as soon as possible, I will get through this process much faster. Yes, I believe that I have found a really good job through this work-study project. My environment consists of very good, very high quality people. In other words, I can say that I was able to find a job that is almost similar, maybe the same as the job I was doing in Turkey. This, so to speak, is not everyone's fortune due to these difficult conditions. I am not talking about a personal talent or character, because there are many obstacles you have to overcome.","Social, Economic, Living environment","Integration, Work/employment, Legal barriers",The Netherlands,permanent,35-44,Turkey,Male
"I think it is enough to do a little research rather than a conscious choice. Because especially if you are going to Europe, if you do not have any support at first, if you do not have the means to stand on your own feet, you choose countries where the social state is at the forefront. It makes more sense to choose. Because why? You will definitely need support when you first start your life. This was the Netherlands because it is a state with a strong social aspect. Maybe it could have been Germany, maybe Belgium, I don't know, maybe Switzerland. In other words, the Netherlands is a particularly prominent country in Europe, or a strong country economically. Also, the progress of the official procedures of the immigration process varies in each country. For example, in the Netherlands you apply for citizenship after 5 years, in Switzerland you apply after 10 years, and so on. When you consider such things, there are pros and cons.","Economic, Living environment","Income, Integration, Legal barriers, Motivations to migrate",The Netherlands,permanent,35-44,Turkey,Male
"We sell mainly Turkish products. And yes, sometimes people are curious about that, non-Turkish people. And then I explain some things. Or then they are looking for something. If they don't know how to use it, or if they are looking for something sweet, I just suggest Turkish things. We have baklava, we have Turkish fruit. They like that.","Social, Economic","Integration, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"RESEARCHER Do you take anything Dutch with you to Turkey? INTERVIEWEE Oh yes I used to. Always used to have mayo, sprinkles, peanut butter. That went that way, that was in our childhood huh? Back then you didn't have mayo and stuff there. RESEARCHER That was more for yourself then. INTERVIEWEE Yes for myself. For them, yes liquorice and so on we did take. And my grandmother had worked in the Netherlands, so she always wanted herring. Things like that. We always brought cheese. Chocolate. In the is maybe also something why we are tired. We from the Netherlands always take something with us. We from the Netherlands never ask for anything. Yes, no, it won't be any different with you. We Turks from the Netherlands pay everything , don't we? When they come here and when we are there, so sometimes I think. What the **** who are we going to continuously please? Yes I think I get tired of that actually somewhere. While I actually really like giving presents, don't I? I got that from my mother, unfortunately. So we can never go somewhere empty-handed, but we always come home empty-handed. But it's quite an investment always. Or a lot of planning. Well. We do it with love notwithstanding. But I take everything with me, if you ask me, it can be anything from branded shoes to clothes, food, cheese.","Social, Economic","Integration, Belonging",The Netherlands,permanent,45-64,The Netherlands,Female
"The advantage of growing up here is that you have a better command of the language than people from other cities, I think. If you talk to primary school children here, who compared to other primary school children in big cities, you name it. I think the children here learn the language better. Better command of the language which also makes you not stand out.","Social, Living environment",Language barriers,The Netherlands,permanent,45-64,The Netherlands,Female
"Now I don't prefer living in big cities at all. The air and water here is better. We live in a house with a garden, not in an apartment. There is no such opportunity in big cities.",Living environment,"Housing, Nature, Pollution",The Netherlands,permanent,65+,Turkey,Male
"RESEARCHER: I guess at first there was the idea of sending money there and returning back. INTERVIEWEE: Yes, we did. We had a house there, we saved money, we said we would go back, but we couldn't. The children are here. In Turkey, mother and father died. That place is over. So we stayed here.","Social, Economic","Housing, Income, Integration, Motivations to migrate, Belonging",The Netherlands,permanent,65+,Turkey,Male
"I wouldn't say a Pole is a wolf, but in my opinion there are some nations who, when they are not on their territory, have it in their genes to help each other. But these are not Poles. Everyone does their own thing. One to the other: ""Haha, I have it better than you"" Pity. My personal stance is that you always have to help people. That's why I work where I work, I do something for the person who needs my help.",Social,"Integration, Motivations to migrate, Belonging",The Netherlands,permanent,45-64,Poland,Female
"A fish goes bad from the head. So if the top, i.e. foremen, management and above don’t give a shit, the workers won't either. Without workers there is no factory.","Social, Economic","Integration, Work/employment, Motivations to migrate, Belonging",The Netherlands,seasonal,35-44,Poland,Female
"Also it would be nice to change this job to another one, we would be the new ones again, there wouldn't be so many of these responsibilities, but still, I like them [the bosses]... I like not so much that I get to spend time with these people who work with us here, but I'm treated well by the bosses. We've kind of developed... maybe respect is too much to say, something like maybe respect. They've always been fair enough to me, if it's about work for my kids or any problems and we've had to go....","Social, Economic","Discrimination, Integration, Work/employment, Belonging",The Netherlands,seasonal,35-44,Poland,Female
"RESEARCHER And are you better off living here than in this other part of Holland? INTERVIEWEE I mean, with a partner, yes, it's better, it's just that there's not much work in this area, for example. Well, it's only in this respect that I'm here, but you have to commute somewhere. there's somewhere else to work, but you have to commute, and we don't have a car, I don't have a driving licence, and so on, so it's a bit difficult.","Social, Economic, Living environment","Income, Integration, Work/employment, Belonging",The Netherlands,temporary,35-44,Poland,Female
"And at one point it was the case that I was working seven days a week, I was always the first one to open the company, close it and so on. A lot of responsibility, e.g. buying machinery for a couple of million, I was talking to these companies about what I needed. And when this person came at that time, I got a blow [metaphorically]. It started with everything starting to hurt, I couldn't cope. I was a tough guy, but out of nowhere tears were coming out of his eyes. There was no need to go to the doctor, but I finally went, because I had such pains in my chest that if something fell I couldn't lift it. I went to the doctor, the doctor said that I had come a bit too late and I had already crossed the red line, I was not to go to work anymore. For me it was unthinkable. When people used to tell me they had job burnout I used to laugh that it didn't exist. Until it hit me.","Social, Economic, Living environment","Work/employment, Health, Motivations to migrate",The Netherlands,permanent,45-64,Poland,Male
"RESEARCHER and how did it work out that you left Poland? INTERVIEWEE: well for the money, of course. Because that's basically the main argument why people leave their country, it seems to me.",Economic,"Income, Work/employment, Motivations to migrate",The Netherlands,seasonal,35-44,Poland,Female
"RESEARCHER: and how did you cope with missing your daughters? INTERVIEWEE: well that was difficult.... I don't wish anyone to have to make such decisions. Well, but then somehow I knew that what we were doing was doing it for them, not so much for ourselves but for them, so that they would be better off. And now, looking back, I know that it was a good thing","Social, Economic","Motivations to migrate, Belonging",The Netherlands,seasonal,35-44,Poland,Female
"And I will tell you this: when you come to Poland for a short time, for holidays, for a week's holiday, everything seems nice. But if you're here for a longer period of time and you have health or other problems, I'm simply not up to it. For me, the Polish system is so hopeless at the moment that it's sad to say. My heart was cut into four pieces and I thought to myself: I'm never going back to Poland. I simply don't belong there.","Social, Economic, Living environment","Integration, Health, Motivations to migrate, Belonging",The Netherlands,permanent,45-64,Poland,Female
"And then there came that moment when my wife was obviously depressed; that if she couldn't find anything she was going to go back to the greenhouse. I said: “woman, you have two faculties, you need to aim higher, no?” Well, she ended up in this company in a village […]. I advised her against it because I said ""it doesn't even look like it, try somewhere in some bigger city. At least let them have an office!"" The office was in a family house [...] She lasted there for probably six months […] But we had no liquidity. She was working hard and he [the boss] wasn't paying her money regularly. So it built up after that, she was probably three months behind. And there was still the threat that she couldn't leave. And she was already looking for something else in the meantime. [...] But I remember like today that it was also closer to Christmas, that she had a copy of a contract slipped under her nose, with extra stipulations about where she can't work. A clause so that she would sign it, so that the boss could take her to court [if she goes working somewhere else]",Economic,"Discrimination, Income, Integration, Work/employment, Legal barriers, Motivations to migrate",The Netherlands,permanent,35-44,Poland,Male
"And to this day I think there is a form of discrimination, because it was always like that: this one is still living so many years and he doesn't speak Dutch. Well, one can pick up the language faster, the other less fast. One has a head for languages, the other doesn't. So if someone arrives at a certain age and has never had an aptitude, they will never speak well, whether they want to or not. On the other hand, people who come from England, from Italy, above all from England, from America, from Canada, they come here and after 10 years they don't speak a word of Dutch, because they all speak English and they have such a job that they can do everything in English. And no one there pays any attention to the fact that after 10 years they do not speak a single word of Dutch.","Social, Living environment","Discrimination, Education, Integration, Language barriers, Belonging",The Netherlands,permanent,45-64,Poland,Female
"INTERVIEWER: are you thinking of returning to Poland? INTERVIEWEE: not now. After so many years, there's not even much to go to. I mean I have a brother who has his own life, his own family. I don't have a flat in Poland. [...] If I were to return to Poland now, I suspect I would have a big problem with reality. So imaginary, lovely, warm, loved and beautiful. If I were there permanently and it turned out that she [Poland] might not be so nice and I am really alone, because the world has changed, it could be a problem.","Social, Living environment","Housing, Motivations to migrate, Belonging, Future migration plans",The Netherlands,permanent,45-64,Poland,Female
As long as you are fit and able to work then everything is great. When your health starts to fail then the problems and pressures start. And we didn't want those pressures and we ran away from the company. We said we wouldn't let ourselves be treated like that.,"Social, Economic, Living environment","Work/employment, Health",The Netherlands,permanent,35-44,Poland,Male
"Because when it comes to supplies in the company we have free coffee AND tea. They have put in an extra water station so there are no queues. Papers, soaps, towels. We have everything. In the previous company, we sat on a trailer in the garage and ate from our knees. Here we have plates, cutlery, it's so normal that you don't have to carry paper under your arm when you go to the toilet. The canteens are cleaned every day. It's so good that you sit at your seat at the table, you don't sit in some corner. At [different job] they didn't have a canteen, and we felt so rejected, because the Dutch and their children sat at the table, and the Poles sat on crates, backpacks under their feet, so it was a bit difficult for us. And here everyone has their own seat, we leave our phones, no one rummages. There are an adequate number of toilets, there's no ban on going to the toilet between breaks, where in other companies it was different. From time to time there are cakes, meetings, the boss's birthday. There is a great mobilisation then, there are scenes built from crumpets, nicely decorated, there is some refreshment. My friend and I set up these tables. We all come together, there is music, there is dancing, music from the different countries. One of the sorting plant managers was having his anniversary here with his wife, he invited all the employees. We felt so honoured, because he doesn't know us very well, and he invited everyone. You know, that's when you get de-stressed, put on better clothes and some make-up. It's not a bad thing. It's so nice that people who are well-off invite ordinary employees who they don't even know, because there's a lot of turnover and a lot of people.","Social, Living environment","Discrimination, Integration, Work/employment, Belonging",The Netherlands,seasonal,45-64,Poland,Female
"But it was hard to get a job of any kind [in Poland] to have money for renovations, for repairs. We had to take out loans for everything. And now we have liquidity, we don't have to worry about having to pay for gas. We can buy goods without having to worry about whether we'll have enough for the rest of the month.",Economic,"Income, Work/employment, Motivations to migrate",The Netherlands,seasonal,45-64,Poland,Female
"Generally there is a lot of turnover here, because you know - someone will come, even at the cottage I had a couple of people who were not fit to work and it was because of their own unwillingness to work. So they left or were fired. And that was it. But well I've been sitting for a year. And a couple of people for a couple of years now. So if they've been sitting here that long then apparently it's not so bad. I can at most complain about people. But about the work? Well it's hard, because it's just a physical job. You sit on that greenhouse, it's hot. If you're sick you write to your boss there, someone will just pass it on. You can't today, because you can't. I, for example, was playing on the pitch here recently and I bent my toe and it started to swell. I couldn't put a shoe on, so I couldn't go to work. So I told my partner to tell the boss and it was ok.","Social, Economic, Living environment","Housing, Work/employment, Health",The Netherlands,seasonal,18-35,Poland,Female
"I also came with the employment offices and as far as I know, the working conditions are improving, the situation is changing, because Poles are no longer coming to work for half a year but to settle down, buy a house, have prospects. Maybe there should be more emphasis on learning the language, more open teaching, more effective. Apparently, there are these schools in the municipalities, but they don't have the efficiency to speak properly, to improve. And besides, Poles manage, everyone has their own place of work, activities. Those who have contacts are happy. And if they don't, they go back to Poland then and search there. They are young, they have their whole lives ahead of them. Everyone is just giving it a try.","Social, Economic, Living environment","Education, Integration, Language barriers, Work/employment, Motivations to migrate",The Netherlands,permanent,45-64,Poland,Male
"I came here and... If someone likes to work, they will work, regardless of whether the work is hard or light. I actually like working, I don't mind. I laugh, there's a sorting office here, it's typically muscular work, for guys. They don't want to put me there. And I just love working there! Because I can unload there. I really do!",Economic,Work/employment,The Netherlands,seasonal,35-44,Poland,Female
"I even talked to my girlfriends, that there was this lady and she was coming here and I would have to tell her why we were sitting here at all in this [region]. And they both say: ""don't tell her it's nice here, because some people will come here soon, and it's nice here, because it's so peaceful"" And that's the truth. If you have that pressure to go to a bigger city then you get on a train or in a car and there I am. Whereas if you want peace and quiet, greenery and fresh air then you come back here. That's the mindset of people here.","Social, Living environment","Nature, Pollution, Transportation",The Netherlands,permanent,45-64,Poland,Female
"I met my partner here, so you look at life in a different way, I don't have to be here, I don't have to return to Poland, but I made a decision to live with this man, so I automatically have a different approach to it, it's not like it wouldn't work out in Poland. So there is a completely different attitude, whereas I know that they also look at us in this way and they look at us as addicts, some alcoholics or thieves. I have also heard a lot that Poles steal. So it's more that way. Sometimes, of course, working in an employment agency, I see this and I myself am ashamed of my compatriots, unfortunately I have to say this, because some of them... They behave tragically and I won't defend that here because I have a problem with them myself. But there are also people who want a more normal life here, they are normal, they are educated. I work with people who have finished university here, so it's like them too, the Dutch also see that they treat us a bit as if we're a bit more stupid, and in fact they don't realise that when someone finishes their baccalaureate, they already have a higher education than them.",Social,"Discrimination, Education, Integration, Belonging, Future migration plans",The Netherlands,temporary,18-34,Poland,Female
"It is good for us that we are here on Polish contracts. We are collecting for our pension, so the minimum rate here is converted and contributions are made on that rate. So this amount is 2.5 times more than what we earned in Poland. So this is a big advantage for us.",Economic,Income,The Netherlands,seasonal,45-64,Poland,Female
"I was the only Pole in the company, if a Dutchman didn't like it he would go to the boss and say ""What is this Pole thinking?"" and the boss would say: ""If this Pole thinks like that, that's the way it is. If he says you shouldn't come to work tomorrow, that's the way it is. I don't have time to talk to you, that's what he's for"" [...] I had the feeling that I was standing 0:1 backwards [in relation to the Dutch]","Social, Economic",,The Netherlands,permanent,45-64,Poland,Male
"I was very happy to see something different, to be in another country. I was also living with my mum when I left so it was kind of like cutting the umbilical cord to some extent for me as well. I just couldn't wait to move away from that mum. Because even though I was working two jobs really, because I had my own business and I had a hostess for that, well I couldn't afford to, I don't know, buy a flat, for example, or even rent a flat, because those were kind of weird things too. So it was like a little bit of that covid pushed me into this quite big decision that was already somewhere in my head. It's just that Holland just came up.",Living environment,"Housing, Work/employment, Motivations to migrate",The Netherlands,temporary,18-34,Poland,Female
"I would say the same as everywhere else, as I would have in Poland. Because there are good people and worse people, right? In this sense, in terms of contacts. It's not that I experienced any discrimination. I would rather say that there was a certain unfamiliarity, right, and it's only when you simply talk to people and when they see that there's nothing to fear that we somehow talk on the same level, and that's obvious. On the other hand, it depends on the person whether someone is open or not. there are people here who are very nice and open, but there are also people who are closed. And it doesn't really depend on whether you are Polish or Dutch, it just depends on who you are.",Social,"Discrimination, Integration, Belonging",The Netherlands,permanent,45-64,Poland,Male
"I'm not thinking about anything permanent at the moment. Neither am I thinking about building a house, because I have two houses from my mum and my dad, so... I don't want to have kids, so I won't spend on that either. I spend on a guy sometimes, on myself too. Possibly there I like - I have a godson, my brother's kids. But I don't really have such a personalised goal. Because others are building themselves a house, putting away money for a car, for children, for debts. And we don't have such commitments. I never wanted to have such commitments either.",Social,Housing,The Netherlands,seasonal,18-34,Poland,Female
"It's cool [here]. In our case it was a plus. At the moment, when we go to [bigger city in Poland where they come from], we're so overwhelmed by the hustle and bustle. Life in general in the Netherlands, despite all the cultural, political and national differences. This is where they take a relaxed approach to everything. Although there are times when the Dutch are shouting and nervous and they are right and that's the way it's supposed to be, but generally as a society everything is calm. If you have to do something, do it calmly, do it well. Whether it's going to the shop, whether it's going to the office, whether it's going to the doctor - it's all so human. And in Poland, when you go into a shop, whether it's a supermarket or public transport, whether it's in a shopping mall, they're all so entitled, they're perpetually upset. They live under permanent stress. And it's not uncommon for us to live here for long periods of time, and if we go to Poland for two weeks, we need two days to get used to it... even just driving in the city streets. Here everyone tries to obey the rules, if you see a car going too fast or a driver behaving suspiciously, you know it's not Dutch. Even though it has yellow plates, you know it's probably Ukrainian or Polish.","Social, Living environment","Integration, Motivations to migrate, Belonging",The Netherlands,seasonal,35-44,Poland,Female
"Well I know quite a lot of people like that, people chase money, it's easier to live here and there's always work somewhere. And in Poland, well, there was a time when it was hard to find a job, or people had to make connections to get a job.",Economic,"Work/employment, Belonging",The Netherlands,temporary,35-44,Poland,Female
"Well... I think the thing that hurts the most is that even if you have a team of nice people, if you want to develop in a different direction, they make it awfully difficult for you... We also had a situation with our first child, because when my daughter was born we did a few more hours at the greenhouse, plus me at the florist, we couldn't find a nursery from 7 o'clock either. And we 7.30 should have been at work already. Sometimes at 6 as there were hot days. So also a stroke of luck, we went and made appointments at 3 different places and the headmistress made us the facility that we could at that half hour earlier. We rescheduled with the employer that we could only be 15 minutes late, well it all came together. But again, our colleagues were unhappy, because how could we... But we had 15 minutes less on our weekly pay, so it wasn't free... But that was people's attitude and we also wanted to get away from that environment as quickly as possible. And it worked out well for both of us.",Social,"Work/employment, Legal barriers, Belonging",The Netherlands,permanent,35-44,Poland,Male
"Today, when I look back on it, it was a crazy idea, you get wiser with age, but then I was in my twenties and I said, OK, I'm going there, there are no problems, what a different country. Today I look back on that decision, I would say it was quite a risky one. Because a lot of things could have happened to me, but they didn't. I mean, I had a lot of things in my life. I mean, I had a lot of strange incidents, but I think it was only with Poles, really, on those warehouses, that there was the biggest problem. I'm not saying that the Dutch are all that great, but the Poles really went out of their way there in many respects. Especially the men who are rejected [by women] there have quite a big problem to accept later that they are rejected, so they do some strange things.","Social, Living environment","Work/employment, Motivations to migrate, Belonging",The Netherlands,temporary,18-34,Poland,Female
"Recently, literally before we met, I had an emergency. The kindergarten called, my child wasn't feeling well, they suspected appendicitis. I carried him from the kindergarten to the hospital because he couldn't even walk. And then they told me, ""We don't have a pediatric surgeon, we don't have a pediatric surgery department."" They couldn't even do a full examination because there wasn't a doctor who could, well, give a conclusion—a pediatric surgeon, that is. Well, only a general practitioner, for example. And then the doctor asked me, ""Can you take the child to the hospital in Opole right now?"" I said, ""I can't, I don't have a car."" I started calling work, asking my coworkers if they could take me. And the doctor then got through to an ambulance, and we went to Opole. I do, but since our city is small, not all doctors are available. I have to travel to neighboring big cities, like Opole or Wroclaw, if I need anything. There's also this moment which is very interesting in Poland. It's easier with doctors in Ukraine. There aren't such long queues. Here, if you need to see a doctor, you can make an appointment and wait a maximum of two weeks. Here, the queues are so long. I had a situation with my child. He needed to have his adenoids and tonsils removed. And he had a doctor's referral. I called five hospitals, and they all told me the waiting list was three years. Three years. But my child needs his adenoids and tonsils removed. And he can't wait three years. I was forced to go to a private clinic. Well, luckily, my work gave me a deduction. And I paid for the removal in Opole, the surgery.",Social,Health,Poland,forced,30-39,Ukraine,Female
"I worked as a furniture designer and as a designer of various bathrooms in a large tile hypermarket. I also worked as an interior designer. Now, at the moment, here in Poland, I've been in contact with companies and also doing some work remotely, well, just sort of in dialogue. First of all, the first thing I did when I came here to Poland, without knowing the language yet, was start searching online for the right CV for Poland. I used a translator—maybe it wasn't quite right at the beginning, broken, incorrect—but I started by writing my CV. And that CV helped me, I mean. Then, when I started learning the language, I realized I needed to rework it. I reworked it, and when I started sending my CV to job postings, I also started adding motivational letters. And that's how I looked for work. I think if I found at least some remote, short-term jobs, I think it means what I simply described in my CV was enough.","Social, Economic",Work/employment,Poland,forced,30-39,Ukraine,Female
"It was easy. There were designated spots for Ukrainian children. When I was looking for a place, I went to the government department, the department that deals specifically with education. The staff there were very helpful. They immediately called around the kindergartens and gave me a referral to a specific one that had told them there were spots. I went, and my child was enrolled right away. It was early spring. And literally a month later, my child started kindergarten. The adjustment process was, of course... Every child is different, but my child had a very difficult time adjusting. We even went to a psychologist, and they gave us a referral from the kindergarten to a clinic that specializes in psychology. We took tests there, had sessions with a psychologist, and then we were assigned to a psychologist at the kindergarten. And a speech therapist so he could learn Polish better and adapt faster. And after these sessions, the adaptation process began very, very quickly.",Social,"Education, Integration",Poland,forced,30-39,Ukraine,Female
"I wasn't able to attend any courses because they were in the evenings, and I had no one to look after my child. I learned the language myself online, through online courses, and I studied at work because I work with Poles.",Social,Language barriers,Poland,forced,30-39,Ukraine,Female
"At first, we were placed under the guardianship of this employer. We lived in the same building. It was a large private house, several floors, and several families lived there. Firstly, it's a small town, there were a lot of Ukrainians, and all the apartments were occupied. It was very difficult to find a free apartment at all. The second issue is the occasional contract. If you have a child, many landlords don't want to sign a lease agreement through a notary without this occasional contract. That was also a problem.","Social, Living environment",Housing,Poland,forced,30-39,Ukraine,Female
"We came 8 people: me, my mother, my sister with two children, my niece with a child, and my grandson.We lived only in Olesno, because we had many children, three, at the time we left and therefore it was very scary to leave at random, three children and my mother was already at such a respectable age.We got an apartment here. First, the girls left, they returned, my sister, children, niece and nephew. I, my mother and my grandson stayed. We pay for the apartment ourselves, but it is social housing, we have a direct agreement with the government. It is not very suitable, because it is very small, 27 square meters, that is, a single's apartment, well, it really is not suitable, but we have nothing else. I pay for the apartment, it is quite expensive to maintain the apartment, because it is completely powered by electricity. We have heating, meaning radiators, water, we have bathroom heating, a stove, a kettle, it's all on electricity, that is, somewhere on average, my apartment costs a month, somewhere from nine hundred zlotys to 1,100 depending on the time of year. For such a small apartment, of course, taking into account the fact that I have a reduced payment for this rent. It's just very favorable for us who are not working, well, I understand what the figure sounds like. Many people say that this is nothing, but considering that it is 27 square meters, we do not have a full-fledged sleeping place, 3 people live, for us, of course, it is expensive for us at the moment.","Social, Living environment","Housing, Income",Poland,forced,50-59,Ukraine,Female
"To be honest, I have a problem with Polish. I also went to the courses and here it is. Well, to be honest, if, let's say, I attended general courses conducted by Mr. Myroslav. I will pay for the courses, I have no financial opportunity, because I have a 75-year-old mother and a grandson, who is already 3 years and 10 months old, respectively.",Social,"Integration, Language barriers",Poland,forced,50-59,Ukraine,Female
"Of course, of course yes, but my main problem is the language, the main problem. That is, I need it. I have no possibility I could do it individually, if I had the opportunity individually. We went to courses, but they were general courses. Well, this is such a level, the most basic. Well, it's understandable that it's perfectly normal in the store, I can calmly explain myself there, I can explain myself perfectly calmly in the same way. Well, with a translator, where I don't have enough spare words. Well, of course, this is the most superficial, the most basic level.",Social,"Integration, Language barriers",Poland,forced,50-59,Ukraine,Female
"Well, not because the work is bad or good. Yes, let’s say I went to work there in the park zone and they offered me, I worked for 3 days. I had such a severe sprain of the knee ligaments that I later went to the doctor, I spent more money on treatment on ointments and medicines than the money I had earned at that time. Well, what offers? The offer was to clean premises in government as part-time job there for 6 hours of work 1800 zlotys in my opinion, the offer for sale in micro-shops is here. Plus, I also have an additional online job","Social, Economic","Housing, Integration, Work/employment, Health, Legal barriers",Poland,forced,50-59,Ukraine,Female
